id , TEV NAME , OTHER NAMES , TYPE , RA (J2000) , Dec (J2000) , LII(degrees) , BII(degrees) , ErrRaStat[s] , ErrRaSys[s] , ErrDecStat[arcsec] , ErrDecSys[arcsec] , EXTENDED , SEMIMAJOR[deg] , ERRMAJOR[deg] , SEMIMINOR[deg] , ERRMINOR[deg] , ROTATION ANGLE[deg] , DIFF. FLUX NORMALIZATION[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSTAT[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSYS[x TeV^-1 cm^-2 s^-1] , SPECTRAL SLOPE , ERRSLOPESTAT , ERRSLOPESYS , INTEGRAL FLUX , ErrFluxStat[x 10^-12 cm^-2 s^-1] , ErrFluxSys[x 10^-12 cm^-2 s^-1] , OTHER SPECTRAL COMPONENTS , Flux in CU[%] , THR ENERGY [GeV] , MIN ZENITH[deg] , MAX ZENITH[deg] , MEAN ZENITH[deg] , DISTANCE[kPc] , Distance , Discoverer , Observatory , START TIME[MJD] , END OBSERVATION[MJD] , EXPOSURE TIME[ksec] , POS. ERROR CIRCLE[deg] , Diff. Flux. Norm. Energy[TeV] , REFERENCE , COMMENTS
39 , "TeV J0852-4622" , "RX J0852.0-4622/ Vela Junior/ HESS J0852-463" , "SNR" , "08 52 00" , "-46 22 00" , "266.28" , "-1.25" , "-" , "-" , "-" , "-" , "YES" , "1" , "-" , "1" , "-" , "-" , "-" , "-" , "-" , "2.24" , "0.04" , "0.15" , "15.2" , "0.7" , "3.2" , "NO" , "70" , "1000" , "20" , "50" , "30" , "0.2" , "-" , "CANGAROO" , "HESS" , "53340" , "53520" , "72" , "-" , "1" , "Aharonian et al. (2007), ApJ 661, 236" , "-"
40 , "TeV J0955+6940" , "NGC 3034/ M 82" , "Starburst" , "09 55 52.73" , "+69 40 48.78" , "141.4" , "40.56" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.3e-13" , "-" , "-" , "2.5" , "0.6" , "0.2" , "0.37" , "0.08" , "0.07" , "NO" , "0.9" , "700" , "-" , "-" , "39" , "3900" , "0.000677" , "VERITAS" , "VERITAS" , "54466" , "54951" , "493.6" , "-" , "1" , "Karlsson et al. (2009), 2009 Fermi Symp." , "Data from Karlsson et al. (2009), 2009 Fermi Symp. Position from NED. Observed from January 2008 to April 2009."
41 , "TeV J0958+6533" , "S4 0954+65" , "FSRQ" , "09 58 47.00" , "+65 33 55.00" , "145.74" , "43.13" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "2.0" , "-" , "-" , "-" , "-" , "150" , "-" , "-" , "-" , "-" , "0.368" , "MAGIC" , "MAGIC" , "57067" , "57068" , "7" , "-" , "-" , "Mirzonian et al. (2015), Atel. #7080" , "Source announced by Mirzonian et al. (2015), Atel. #7080."
42 , "TeV J1010-3118" , "1RXS J101015.9-311909" , "HBL" , "10 10 15.03" , "-31 18 18.4" , "266.89" , "20.06" , "3.77" , "1.56" , "41.6" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.87e-13" , "6.6e-14" , "3.7e-14" , "3.08" , "0.42" , "0.2" , "2.35" , "0.64" , "0.47" , "NO" , "0.8" , "200" , "8" , "28" , "13" , "573000" , "0.14" , "HESS" , "HESS" , "-" , "-" , "118.8" , "0.017" , "1" , "Abramowski et al. (2012), A&A 542, A94" , "-"
43 , "TeV J1015+4926" , "1ES 1011+496" , "HBL" , "10 15 04.1" , "+49 26 01" , "165.53" , "52.71" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "2e-10" , "1e-11" , "1.5e-10" , "4.0" , "0.5" , "0.2" , "15.8" , "3.2" , "11.9" , "NO" , "7" , "200" , "20" , "37" , "-" , "-" , "0.212" , "MAGIC" , "MAGIC" , "54176" , "54238" , "67.3" , "-" , "0.2" , "Albert et al. (2007), ApJ 667, L21" , "Position from NED (2011AJ 142 89P). De-absorbed data from Albert et al. (2007), ApJ 667, L21."
44 , "TeV J1016-5858" , "HESS J1018-589 B/ PSR J1016–5857" , "PWN" , "10 16 31" , "-58 58 48" , "284.11" , "-1.9" , "12" , "1.3" , "180" , "20" , "YES" , "0.15" , "0.03" , "0.15" , "0.03" , "-" , "6.8e-13" , "1.6e-13" , "1.4e-13" , "2.9" , "0.4" , "0.2" , "0.36" , "-" , "-" , "NO" , "1.8" , "1000" , "35" , "50" , "-" , "8" , "-" , "HESS" , "HESS" , "54101" , "55012" , "144" , "0.050" , "1" , "Abramowski et al. (2012), A&A 541, A5" , "-"
45 , "TeV J1018-5856" , "HESS J1018-589 A/ SNR G284.3–1.8" , "BIN" , "10 18 59.3" , "-58 56 10" , "284.35" , "-1.68" , "2.4" , "1.3" , "36" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.2e-13" , "1.1e-13" , "8e-14" , "2.7" , "0.5" , "0.2" , "0.25" , "-" , "-" , "NO" , "1.3" , "1000" , "35" , "50" , "-" , "2.9" , "-" , "HESS" , "HESS" , "54101" , "55012" , "144" , "0.011" , "1" , "Abramowski et al. (2012), A&A 541, A5" , "-"
46 , "TeV J1023-5747" , "Westerlund 2/ HESS J1023-575" , "WR/MSC" , "10 23 24.0" , "-57 47 24" , "284.21" , "-0.41" , "7.2" , "1.3" , "72" , "20" , "YES" , "0.18" , "0.02" , "0.18" , "0.02" , "-" , "3.3e-12" , "5e-13" , "6.5e-13" , "2.58" , "0.19" , "0.2" , "2.9" , "-" , "-" , "NO" , "10" , "800" , "30" , "55" , "38" , "8" , "-" , "HESS" , "HESS" , "53795" , "54983" , "165.24" , "0.030" , "1" , "Abramowski et al. (2011), A&A 525, A46" , "-"
47 , "TeV J1026-5812" , "HESS J1026-582" , "PWN" , "10 26 38.4" , "-58 12 00" , "284.79" , "-0.53" , "21.6" , "1.3" , "108" , "20" , "YES" , "0.14" , "0.03" , "0.14" , "0.03" , "-" , "9.9e-13" , "3.4e-14" , "2e-14" , "1.94" , "0.2" , "0.2" , "1.3" , "-" , "-" , "NO" , "4" , "800" , "30" , "55" , "38" , "-" , "-" , "HESS" , "HESS" , "53795" , "54983" , "165.25" , "0.090" , "1" , "Abramowski et al. (2011), A&A 525, A46" , "-"
48 , "TeV J1103-2329" , "1ES 1101-232/ 1H 1100-230" , "HBL" , "11 03 36.5" , "-23 29 45" , "273.18" , "33.07" , "2.5" , "1.3" , "26" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "5.6e-13" , "8.9e-14" , "-" , "2.94" , "0.2" , "0.1" , "4.5" , "1.2" , "0.9" , "NO" , "-" , "200" , "-" , "-" , "-" , "-" , "0.186" , "HESS" , "HESS" , "53111" , "53445" , "153.72" , "0.012" , "1" , "Aharonian et al. (2007), A&A 470, 475" , " Data from Aharonian et al. (2007), A&A 470, 475. Flux normalization is given at 1 TeV."
49 , "TeV J1104+3811" , "Markarian 421" , "HBL" , "11 04 19" , "+38 11 41" , "179.88" , "65.01" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "2.20" , "0.08" , "-" , "-" , "-" , "-" , "YES" , "-" , "200" , "9" , "55" , "-" , "129740" , "0.031" , "WHIPPLE" , "MAGIC" , "53325" , "53470" , "92.1" , "-" , "-" , "Albert et al. (2007) ApJ, 663, 125A" , "De-absorbed spectrum is well fitted by a power law with an exponential cut-off at 1.4 TeV. Value shown in the table are for this fit."
50 , "TeV J1119-6124" , "G 292.2-0.5/ HESS J1119-614/ PSR J1119-6127" , "PWN" , "11 19 00" , "-61 24 00" , "292.1" , "-0.49" , "-" , "-" , "-" , "-" , "YES" , "0.1" , "-" , "0.1" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "4" , "500" , "-" , "-" , "-" , "5" , "-" , "HESS" , "HESS" , "-" , "-" , "180" , "-" , "-" , "Djannati-Atai et al. (2009)" , "Source detection presented at the Workshop Supernova Remnants and Pulsar Wind Nebulae in the Chandra Era (2009)."
51 , "TeV J1136+6737" , "RX J1136.5+6737" , "HBL" , "11 36 30.1" , "+67 37 04.4" , "133.45" , "47.95" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "NO" , "1.5" , "200" , "-" , "-" , "-" , "-" , "0.1342" , "MAGIC" , "MAGIC" , "-" , "-" , "-" , "-" , "-" , "Mirzoyan et al. (2014) Atel. #6062" , "Source announced by Mirzoyan et al. (2014), Atel. #6062."
52 , "TeV J1136+7009" , "Markarian 180/1ES 1133+704/1H 1137+699" , "HBL" , "11 36 26.4" , "+70 09 27.3" , "131.91" , "45.64" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.5e-11" , "1.8e-11" , "2.2e-11" , "3.3" , "0.7" , "0.2" , "23" , "7" , "-" , "NO" , "11" , "200" , "39" , "44" , "-" , "187970" , "0.045" , "MAGIC" , "MAGIC" , "53817" , "53825" , "39.96" , "-" , "0.3" , "Albert et al., ApJ Lett. (2006) 648, L105" , "Data from Albert et al., ApJ Lett. (2006) 648, L105. Position from NED (2004AJ 127 3587F). Flux normalization is given at 300 GeV."
53 , "TeV J1217+3006" , "1ES 1215+303/ B2 1215+30" , "LBL" , "12 17 48.5" , "+30 06 06" , "189.02" , "82.04" , "1.7" , "3" , "25" , "50" , "NO" , "-" , "-" , "-" , "-" , "-" , "2.3e-11" , "5e-12" , "9e-12" , "3.6" , "0.4" , "0.3" , "8.0" , "0.9" , "3.2" , "NO" , "3.4" , "200" , "-" , "-" , "15" , "-" , "0.130" , "MAGIC" , "VERITAS" , "55562" , "55742" , "136.8" , "0.016" , "0.3" , "Aliu et al. (2013), ApJ 779, 92" , "Data from Aliu et al. (2013), ApJ 779, 92. Flux data correspondent to the 2011 data campaign."
54 , "TeV J1221+2813" , "W Comae/ ON+231/ B2 1219+28" , "IBL" , "12 21 31.7" , "+28 13 58.5" , "201.74" , "83.28" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "6.5e-11" , "9e-12" , "1.3e-11" , "3.68" , "0.22" , "0.30" , "57" , "6" , "-" , "NO" , "23" , "200" , "49" , "73" , "-" , "-" , "0.102" , "VERITAS" , "VERITAS" , "54624" , "54626" , "13.8" , "-" , "0.4" , "Acciari et al. (2009), ApJ 707, 612" , "Data of the 7-9 June 2008 flare. Position from NED (1995AJ 110 880J)."
55 , "TeV J1221+3011" , "1ES 1218+304/ 1H 1219+301/ H 1219+305" , "HBL" , "12 21 26.3" , "+30 11 29" , "186.21" , "82.74" , "2.8" , "7.0" , "33" , "90" , "NO" , "-" , "-" , "-" , "-" , "-" , "7.5e-12" , "1.1e-12" , "1.5e-12" , "3.08" , "0.34" , "0.20" , "12.2" , "2.6" , "-" , "NO" , "6" , "200" , "2" , "35" , "14" , "739140" , "0.182" , "MAGIC" , "VERITAS" , "54101" , "54190" , "62.64" , "0.031" , "0.5" , "Acciari et al. (2009), ApJ 695, 1370" , "-"
56 , "TeV J1224+2122" , "4C +21.35/ PKS 1222+21" , "FSRQ" , "12 24 54.5" , "+21 22 46.4" , "255.08" , "81.65" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "7.8e-10" , "1.2e-10" , "3.5e-10" , "3.75" , "0.27" , "0.2" , "460" , "50" , "-" , "NO" , "100" , "100" , "-" , "-" , "-" , "-" , "0.432" , "MAGIC" , "MAGIC" , "55319" , "55366" , "51.48" , "-" , "0.2" , "Aleksic et al. (2011), ApJL 730, L8" , "The source has been detected only in one night (MJD 55364) with Texp: 1.8 ksec. Normalization factor is at 200 GeV. Position provided by NED (2002ApJS 141 13B)."
57 , "TeV J1224+2436" , "MS 1221.8+2452/ 1RXS J122424.2+243618" , "HBL" , "12 24 24.2" , "+24 36 24" , "233.96" , "83.41" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "NO" , "4" , "200" , "-" , "-" , "-" , "-" , "0.218" , "MAGIC" , "MAGIC" , "56412" , "56413" , "14.4" , "-" , "-" , "Cortina et al. (2013), Atel #5038" , "Source announced in Atel #5038. Position taken from NED. No information on the positional uncertainty available."
58 , "TeV J1230+1223" , "M87/ 1ES 1228+126/ 1H 1226+128" , "FRI" , "12 30 47.2" , "+12 23 51" , "283.74" , "74.49" , "1.4" , "1.3" , "19" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "2.4e-13" , "7.5e-14" , "4.8e-14" , "2.62" , "0.35" , "0.2" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "0.0044" , "HEGRA" , "HESS" , "53005" , "53370" , "-" , "0.0080" , "1" , "Aharonian et al. (2006), Science 314, 1424" , "Data of the 2004 campaign from Aharonian et al. (2006), Science 314, 1424. Year-by-year light curve (2003-2006)."
59 , "TeV J1256-0547" , "3C 279" , "FSRQ" , "12 56 11.1" , "-05 47 22" , "305.1" , "57.06" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "515" , "82" , "150" , "NO" , "-" , "80" , "-" , "-" , "-" , "-" , "0.536" , "MAGIC" , "MAGIC" , "-" , "-" , "-" , "-" , "-" , "-" , "Position from NED."
60 , "TeV J1302-6349" , "PSR B1259-63" , "XRB" , "13 02 49.3" , "-63 49 53" , "304.18" , "-0.99" , "2.3" , "1.3" , "17" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.3e-12" , "1e-13" , "4e-13" , "2.7" , "0.2" , "0.2" , "4" , "0.4" , "-" , "NO" , "4.9" , "380" , "-" , "-" , "42.7" , "1.5" , "-" , "HESS" , "HESS" , "53036" , "53157" , "174.96" , "0.011" , "1" , "Aharonian et al. (2005), A&A 442, 1" , "-"
61 , "TeV J1302-6310" , "HESS J1303-631" , "PWN" , "13 02 48.0" , "-63 10 39" , "304.21" , "-0.34" , "3" , "1.3" , "24" , "20" , "YES" , "0.194" , "0.008" , "0.145" , "0.006" , "147" , "5.9e-12" , "3e-13" , "-" , "2.44" , "0.03" , "-" , "-" , "-" , "-" , "YES" , "-" , "-" , "-" , "-" , "43.8" , "6.6" , "-" , "HESS" , "HESS" , "53036" , "54466" , "389.88" , "0.014" , "1" , "Abramowski et al. (2012), A&A 548, A46" , "Data from Abramowski et al. (2012), A&A 548, A46. Rotation angle 147+/-6 deg, counted clockwise from North. Spectrum best described by a power-law with an exponential cut-off: N_0=(5.6 +/- 0.5)E-12 ph/TeV/cm2/s; Gamma=1.5 +/- 0.2; Ec=(7.7 +/- 2.2) TeV."
62 , "TeV J1314-4235" , "1ES 1312-423" , "HBL" , "13 14 58.5" , "-42 35 49" , "307.54" , "20.06" , "4.2" , "1.3" , "48" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.9e-13" , "5.8e-14" , "2.4e-14" , "2.85" , "0.47" , "0.2" , "-" , "-" , "-" , "NO" , "0.5" , "1000" , "-" , "-" , "24" , "-" , "0.105" , "HESS" , "HESS" , "53096" , "55408" , "542.16" , "0.018" , "1" , "Abramowski et al. (2013), MNRAS 434, 1889" , "-"
63 , "TeV J1325-4300" , "Centaurus A" , "FRI" , "13 25 26.4" , "-43 00 42" , "309.51" , "19.42" , "4.6" , "2" , "66" , "30" , "NO" , "-" , "-" , "-" , "-" , "-" , "2.5e-13" , "5.2e-14" , "4.9e-14" , "2.73" , "0.45" , "0.2" , "1.56" , "0.67" , "-" , "NO" , "0.8" , "250" , "20" , "60" , "24" , "-" , "0.00183" , "HESS" , "HESS" , "53096" , "54677" , "414" , "0.021" , "1" , "Aharonian et al. (2009), ApJ 695, L40" , "-"
64 , "TeV J1356-6430" , "HESS J1356-645/ PSR J1357-6429" , "PWN" , "13 56 00" , "-64 30 00" , "309.81" , "-2.5" , "8" , "1.3" , "120" , "20" , "YES" , "0.2" , "0.02" , "0.2" , "0.02" , "-" , "2.7e-12" , "9e-13" , "4e-13" , "2.2" , "0.2" , "0.2" , "2.3" , "0.5" , "-" , "NO" , "11" , "1000" , "39" , "54" , "45" , "2.4" , "-" , "HESS" , "HESS" , "53461" , "54190" , "36" , "0.034" , "1" , "Abramowski et al. (2011), A&A 533, A103" , "-"
65 , "TeV J1418-6058" , "G313.3+0.1/ HESS J1418-609/ Kookaburra (Rabbit)" , "PWN" , "14 18 04" , "-60 58 31" , "313.24" , "0.14" , "7" , "1.3" , "35" , "20" , "YES" , "0.082" , "0.025" , "0.045" , "0.012" , "46.2" , "2.6e-12" , "2e-13" , "5.3e-13" , "2.22" , "0.08" , "0.1" , "2.17" , "0.17" , "0.43" , "NO" , "9.6" , "1000" , "-" , "-" , "35.3" , "5.6" , "-" , "HESS" , "HESS" , "53461" , "53583" , "65.16" , "0.030" , "1" , "Aharonian et al. (2006), A&A 456, 245" , "Data from Aharonian et al. (2006), A&A 456, 245. Rotation angle: (46.2+/-20.4)deg - major axis, North to East)."
66 , "TeV J1420-6045" , "PSR J1420-6048/ HESS J1420-607/ Kookaburra (Pulsar)" , "PWN" , "14 20 09" , "-60 45 36" , "313.55" , "0.26" , "4" , "1.3" , "32" , "20" , "YES" , "0.055" , "0.008" , "0.055" , "0.088" , "-" , "3.5e-12" , "2e-13" , "7e-13" , "2.17" , "0.06" , "0.1" , "2.97" , "0.18" , "0.6" , "NO" , "0.07" , "1000" , "-" , "-" , "35.3" , "5.6" , "-" , "HESS" , "HESS" , "53461" , "53583" , "65.16" , "0.018" , "1" , "Aharonian et al. (2006), A&A 456, 245" , "-"
67 , "TeV J14272347" , "PKS 1424+240" , "IBL" , "14 27 00" , "23 47 40" , "29.46" , "68.2" , "7" , "-" , "120" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "5.1e-11" , "9e-12" , "5e-12" , "3.8" , "0.5" , "0.3" , "-" , "-" , "-" , "NO" , "5" , "200" , "-" , "-" , "-" , "-" , "<0.66" , "VERITAS" , "VERITAS" , "54881" , "55003" , "-" , "0.033" , "0.2" , "Acciari et al. (2010), ApJL 708, L100" , "-"
68 , "TeV J1427-6051" , "HESS J1427-608" , "UNID" , "14 27 52" , "-60 51 00" , "314.4" , "-0.15" , "12" , "1.3" , "180" , "20" , "YES" , "0.04" , "0.02" , "0.08" , "0.03" , "80" , "1.3e-12" , "4e-13" , "3e-13" , "2.16" , "0.14" , "0.2" , "1.16" , "-" , "-" , "NO" , "5" , "970" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "75.6" , "0.050" , "1" , "Aharonian et al. (2008), A&A 477, 353" , "Rotation angle: (80+/-17)deg (clockwise from RA axis)."
69 , "TeV J1428+4240" , "H 1426+428/ 1ES 1426+428" , "HBL" , "14 28 32.7" , "+42 40 20.7" , "77.48" , "64.89" , "3.3" , "1.7" , "50" , "25" , "NO" , "-" , "-" , "-" , "-" , "-" , "2e-12" , "1.3e-12" , "1e-13" , "2.6" , "0.6" , "0.1" , "1.7" , "0.5" , "0.1" , "NO" , "10" , "1000" , "-" , "-" , "17" , "-" , "0.129" , "HEGRA" , "WHIPPLE" , "51179" , "51909" , "159.8" , "0.016" , "1" , "Aharonian et al. (2002), A&A 384, L23" , "-"
70 , "TeV J1442-6226" , "RCW 86/ G315.4-2.3/ MSH 14-63" , "SNR" , "14 42 43.0" , "-62 26 41.6" , "315.41" , "-2.31" , "14.1" , "1.3" , "66.5" , "20" , "YES" , "0.41" , "0.03" , "0.41" , "0.03" , "-" , "3.7e-12" , "5e-13" , "8e-13" , "2.54" , "0.12" , "0.2" , "2.34" , "0.3" , "0.5" , "NO" , "10" , "1000" , "38" , "53" , "-" , "2.5" , "-" , "HESS" , "HESS" , "53005" , "54465" , "111.6" , "0.059" , "1" , "Aharonian et al. (2008), ApJ 692, 1500" , "Shell-like morphology: outer rad=(24.43+/-1.79)arcmin; width=(12.39+/-4.22)arcmin."
71 , "TeV J1442+1200" , "1ES 1440+122" , "HBL" , "14 42 48.3" , "+12 00 40.3" , "8.32" , "59.83" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "3.4" , "0.7" , "-" , "-" , "-" , "-" , "NO" , "1" , "200" , "-" , "-" , "-" , "-" , "0.162" , "VERITAS" , "VERITAS" , "-" , "-" , "-" , "-" , "-" , "Benbow et al. (2011), 32nd ICRC" , "Data from Benbow (2011), 32nd ICRC. Position from NED (2006SDSS5.C 0000:)."
72 , "TeV J1457-5928" , "HESS J1457-593/ G318.2+0.1" , "SNR/MC" , "14 57 46" , "-59 28 00" , "318.36" , "-0.44" , "33" , "1.3" , "300" , "20" , "YES" , "0.31" , "0.07" , "0.17" , "0.05" , "67" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "35" , "55" , "38" , "3.5" , "-" , "HESS" , "HESS" , "53035" , "55561" , "-" , "0.14" , "-" , "Hofverberg et al. (2011), 25th Texas Symp. Rel. A" , "Data from Hofverberg et al. (2011), 25th Texas Symposium on Relativistic Astrophysics. Orientation angle: (67+/-15)deg."
73 , "TeV J1458-6052" , "HESS J1458-608/ PSR J1459-6053" , "PWN" , "14 58 09.6" , "-60 52 38" , "317.74" , "-1.71" , "7" , "1.3" , "4" , "20" , "YES" , "0.17" , "0.07" , "0.17" , "0.07" , "-" , "2.1e-12" , "4e-13" , "-" , "2.8" , "0.2" , "-" , "1.2" , "0.4" , "-" , "NO" , "6" , "1000" , "-" , "-" , "39" , "-" , "-" , "HESS" , "HESS" , "54832" , "55561" , "345.6" , "0.030" , "1" , "Reyes et al. (2011), 32nd ICRC" , "Data from Reyes et al. (2011), 32nd ICRC."
74 , "TeV J1502-4107" , "SN 1006-SW/ HESS J1502-421" , "SNR" , "15 02 03" , "-41 07 05" , "327.86" , "15.34" , "-" , "-" , "-" , "-" , "YES" , "0.13" , "-" , "0.13" , "-" , "-" , "-" , "-" , "-" , "2.29" , "0.18" , "0.2" , "0.155" , "0.037" , "0.031" , "NO" , "0.8" , "1000" , "-" , "-" , "-" , "2.2" , "-" , "HESS" , "HESS" , "52640" , "54801" , "468" , "-" , "-" , "Acero et al. (2010), A&A 516, A62" , "Center of the shell: RA=15h02m51.1s; DEC=-41d55m32.2s. Center of SW-excess from HESS catalog."
75 , "TeV J1503-5813" , "HESS J1503-582" , "UNID" , "15 03 38" , "-58 13 45" , "319.61" , "0.29" , "24" , "1.3" , "360" , "20" , "YES" , "0.26" , "-" , "0.26" , "-" , "-" , "1.6e-12" , "6e-13" , "-" , "2.4" , "0.4" , "0.2" , "6" , "-" , "-" , "NO" , "6" , "1000" , "35" , "45" , "-" , "-" , "-" , "HESS" , "HESS" , "53005" , "54101" , "86.4" , "0.10" , "1" , "Renaud et al. (2008), arXiv:0811.1552" , "Data from Renaud et al. (2008), arXiv:0811.1552."
76 , "TeV J1504-4148" , "SN 1006-NE/ HESS J1504-418" , "SNR" , "15 04 03.4" , "-41 48 11" , "327.84" , "14.56" , "-" , "-" , "-" , "-" , "YES" , "0.12" , "-" , "0.12" , "-" , "-" , "-" , "-" , "-" , "2.35" , "0.14" , "0.2" , "0.233" , "0.043" , "0.047" , "NO" , "0.9" , "1000" , "-" , "-" , "-" , "2.2" , "-" , "HESS" , "HESS" , "52640" , "54801" , "468" , "-" , "-" , "Acero et al. (2010), A&A 516, A62" , "Center of the shell: RA=15h02m51.1s; DEC=-41d55m32.2s. Center of NE-excess from HESS catalog."
77 , "TeV J1506-6221" , "HESS J1507-622" , "UNID" , "15 06 53" , "-62 21 00" , "317.94" , "-3.5" , "12" , "1.3" , "108" , "20" , "YES" , "0.15" , "0.02" , "0.15" , "0.02" , "-" , "3.1e-12" , "8e-13" , "-" , "2.49" , "0.18" , "0.2" , "2.1" , "0.6" , "0.4" , "NO" , "8" , "1000" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "54101" , "54831" , "34.9" , "0.050" , "1" , "Acero et al. (2011), A&A 525, A45" , "-"
78 , "TeV J1512-0906" , "PKS 1510-089" , "FSRQ" , "15 12 52.2" , "-09 06 21.6" , "351.28" , "40.12" , "1.8" , "1.3" , "26.5" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.1e-10" , "2e-11" , "2e-11" , "5.4" , "0.7" , "0.3" , "10" , "2" , "2" , "NO" , "3" , "150" , "14" , "41" , "-" , "-" , "0.361" , "HESS" , "HESS" , "54910" , "54950" , "56.88" , "0.0093" , "0.18" , "Abramowski et al. (2013), A&A 554, A107" , "Integral flux and spectrum between 0.15 and 1.0 TeV."
