id , TEV NAME , OTHER NAMES , TYPE , RA (J2000) , Dec (J2000) , LII(degrees) , BII(degrees) , ErrRaStat[s] , ErrRaSys[s] , ErrDecStat[arcsec] , ErrDecSys[arcsec] , EXTENDED , SEMIMAJOR[deg] , ERRMAJOR[deg] , SEMIMINOR[deg] , ERRMINOR[deg] , ROTATION ANGLE[deg] , DIFF. FLUX NORMALIZATION[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSTAT[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSYS[x TeV^-1 cm^-2 s^-1] , SPECTRAL SLOPE , ERRSLOPESTAT , ERRSLOPESYS , INTEGRAL FLUX , ErrFluxStat[x 10^-12 cm^-2 s^-1] , ErrFluxSys[x 10^-12 cm^-2 s^-1] , OTHER SPECTRAL COMPONENTS , Flux in CU[%] , THR ENERGY [GeV] , MIN ZENITH[deg] , MAX ZENITH[deg] , MEAN ZENITH[deg] , DISTANCE[kPc] , Distance , Discoverer , Observatory , START TIME[MJD] , END OBSERVATION[MJD] , EXPOSURE TIME[ksec] , POS. ERROR CIRCLE[deg] , Diff. Flux. Norm. Energy[TeV] , REFERENCE , COMMENTS
79 , "TeV J1513-5914" , "MSH 15-52/ PSR B1509-58" , "PWN" , "15 13 56.6" , "-59 14 06.0" , "320.27" , "-1.25" , "-" , "-" , "-" , "-" , "YES" , "0.21" , "0.08" , "0.07" , "0.07" , "61.3" , "7.9e-13" , "1.5e-13" , "1.7e-13" , "2.21" , "0.39" , "0.4" , "1.6" , "0.4" , "-" , "NO" , "6" , "1900" , "-" , "35" , "30.1" , "5.2" , "-" , "HESS" , "CANGAROO" , "53826" , "53916" , "174.24" , "-" , "2.35" , "Nakamori et al. (2008), ApJ 677, 297" , "Inclination of major axis: (61.3+/-1.9)deg wrt RA axis."
80 , "TeV J1517-2422" , "AP Librae/ PKS B1514-241" , "LBL" , "15 17 40.6" , "-24 22 37.5" , "340.67" , "27.57" , "3" , "1.3" , "18.4" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.3e-12" , "5.7e-13" , "8.6e-13" , "2.65" , "0.19" , "0.2" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "13" , "-" , "0.049" , "HESS" , "HESS" , "55326" , "55689" , "50.4" , "0.014" , "0.45" , "Abramowski et al. (2015), A&A 573, A31" , "Spectrum fitted between 130 GeV and 6.3TeV."
81 , "TeV J1554-5505" , "G 327.1-1.1" , "PWN" , "15 54 36" , "-55 05 05" , "327.15" , "-1.08" , "4" , "1.3" , "60" , "20" , "YES" , "0.03" , "0.01" , "0.03" , "0.01" , "-" , "1.7e-13" , "3e-14" , "4e-14" , "2.1" , "0.2" , "0.2" , "-" , "-" , "-" , "NO" , "1.5" , "1000" , "30" , "43" , "33" , "9" , "-" , "HESS" , "HESS" , "53371" , "55197" , "162" , "0.018" , "1.39" , "Acero et al. (2012), 32nd ICRC" , "Integral flux (1-10 TeV)= 1.12 x 10^-12 ergs/cm^2/s."
82 , "TeV J1555+1111" , "PG 1553+113/ 1ES 1553+113" , "HBL" , "15 55 43.04" , "+11 11 24.37" , "21.9" , "43.96" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.61e-10" , "1.4e-11" , "-" , "4.27" , "0.14" , "-" , "-" , "-" , "-" , "NO" , "8" , "150" , "17" , "35" , "-" , "508280" , "0.129" , "HESS" , "MAGIC" , "54182" , "54997" , "103.3" , "-" , "0.2" , "Aleksic et al. (2012), ApJ 748, 46" , "Data from Aleksic et al. 2012. 3 years of observation (2007-2009). Position from NED (2002ApJS 141 13B). Energy threshold is different in every years. The average value is shown."
83 , "TeV J1614-5149" , "HESS J1614-518" , "UNID" , "16 14 19.2" , "-51 49 12" , "331.51" , "-0.59" , "-" , "1.3" , "-" , "20" , "YES" , "0.23" , "0.02" , "0.15" , "0.02" , "49" , "8e-12" , "-" , "-" , "2.46" , "0.2" , "0.2" , "57.8" , "7.7" , "17.3" , "NO" , "25" , "200" , "-" , "-" , "26" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "35.28" , "-" , "1" , "Aharonian et al., ApJ 636 (2006) 777" , "Best-fit position: l=(331.52+/-0.03)deg; b=(-0.58+/-0.02)deg. Rotation angle: (49+/-10)deg, counter-clockwise wrt the positive l-axis. Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy."
84 , "TeV J1616-5054" , "HESS J1616-508" , "PWN" , "16 16 24.0" , "-50 54 00" , "332.39" , "-0.15" , "-" , "1.3" , "-" , "20" , "YES" , "0.136" , "0.008" , "0.136" , "0.008" , "-" , "6.7e-12" , "-" , "-" , "2.35" , "0.06" , "0.2" , "43.3" , "2" , "-" , "NO" , "19" , "200" , "-" , "-" , "26" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "36.72" , "-" , "1" , "Aharonian et al., ApJ 636 (2006) 777" , "Best-fit position: l=(332.391+/-0.014)deg; b=(-0.138+/-0.013)deg. Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy. Source association: PWN powered by PSR J1617-5055?"
85 , "TeV J1626-4905" , "HESS J1626-490" , "UNID" , "16 26 04" , "-49 05 13" , "334.77" , "0.04" , "12" , "1.3" , "180" , "20" , "YES" , "0.07" , "0.02" , "0.1" , "0.05" , "3" , "4.9e-12" , "9e-13" , "-" , "2.18" , "0.12" , "0.2" , "7.6" , "-" , "-" , "NO" , "16" , "600" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "43.2" , "0.050" , "1" , "Aharonian et al., A&A 477 (2008) 353-363" , "Orientation angle: (3+/-40)deg measured counter-clockwise wrt RA axis."
86 , "TeV J1632-4749" , "HESS J1632-478" , "PWN" , "16 32 09.6" , "-47 49 12" , "336.38" , "0.18" , "-" , "1.3" , "-" , "20" , "YES" , "0.21" , "0.05" , "0.06" , "0.04" , "21" , "5.3e-12" , "-" , "-" , "2.12" , "0.2" , "0.2" , "28.7" , "5.3" , "-" , "NO" , "12" , "200" , "-" , "-" , "26" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "16.2" , "-" , "1" , "Aharonian et al., ApJ 636 (2006) 777" , "Best-fit position: l=(336.38+/-0.04)deg; b=(0.19+/-0.03)deg. Orientation angle: (21+/-13)deg counter-clockwise wrt the positive Gal. Lat. axis (deg). Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy."
87 , "TeV J1634-4716" , "HESS J1634-472" , "UNID" , "16 34 57.6" , "-47 16 12" , "337.1" , "0.21" , "-" , "1.3" , "-" , "20" , "YES" , "0.11" , "0.03" , "0.11" , "0.03" , "-" , "2e-12" , "-" , "-" , "2.38" , "0.27" , "0.2" , "13.4" , "2.6" , "-" , "NO" , "6" , "200" , "-" , "-" , "26" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "23.76" , "-" , "1" , "Aharonian et al., ApJ 636 (2006) 777" , "Best-fit position: l=(337.11+/-0.05)deg; b=(0.22+/-0.04)deg. Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy. Possible source association: IGR J16358-4726, G337.2+0.1. "
88 , "TeV J1640-4631" , "HESS J1640-465/ SNR G338.3-0.0" , "PWN" , "16 40 43.2" , "-46 31 48" , "338.31" , "-0.03" , "-" , "1.3" , "-" , "20" , "YES" , "0.045" , "0.009" , "0.045" , "0.009" , "-" , "3e-12" , "-" , "-" , "2.42" , "0.15" , "0.2" , "20.9" , "2.2" , "6.3" , "NO" , "9" , "200" , "-" , "-" , "26" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "51.48" , "-" , "1" , "Aharonian et al., ApJ 636 (2006) 777" , "Best-fit position: l=(338.316+/-0.007)deg; b=(-0.021+/-0.007)deg. Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy. Possible source association: SNR G338.3-0.0."
89 , "TeV J1641-4618" , "HESS J1641-463" , "UNID" , "16 41 2.1" , "-46 18 13" , "338.52" , "0.08" , "3.0" , "1.9" , "35" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.91e-13" , "6.9e-14" , "7.8e-14" , "2.07" , "0.11" , "0.20" , "0.364" , "0.044" , "0.073" , "NO" , "1.8" , "1000" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "53005" , "55926" , "259.2" , "0.015" , "1" , "Abramowski et al. (2014), ApJL 794, L1" , "Source detected using VHE events (E>4 TeV) from deep observation of the nearby bright TeV source HESS J1640-465."
90 , "TeV J1646-4549" , "Westerlund 1/ HESS J1646–458" , "UNID" , "16 46 50" , "-45 49 12" , "339.54" , "-0.36" , "27" , "1.3" , "420" , "20" , "YES" , "1.1" , "-" , "1.1" , "-" , "-" , "9e-12" , "1.4e-12" , "1.8e-12" , "2.19" , "0.08" , "0.20" , "52" , "9" , "-" , "NO" , "3.1" , "200" , "21" , "45" , "26" , "4" , "-" , "HESS" , "HESS" , "53005" , "54709" , "121.68" , "0.12" , "1" , "Abramowski et al. (2012), A&A 537, A114" , "Best-fit position in agreement with the center of the Westerlund 1 open cluster. Spectrum extracted from the 1.1 deg gamma-ray emission region. Possible presence of multiple TeV sources within the emission region."
91 , "TeV J1653+3945" , "Markarian 501" , "HBL" , "16 53 52.2" , "+39 45 36" , "63.59" , "38.86" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.1e-10" , "1e-11" , "-" , "2.79" , "0.12" , "-" , "46" , "4" , "-" , "NO" , "20" , "200" , "-" , "-" , "-" , "-" , "0.034" , "WHIPPLE" , "MAGIC" , "53917" , "53946" , "32.8" , "-" , "0.3" , "Anderhub et al. (2009), ApJ 705, 1624" , "-"
92 , "TeV J1702-4200" , "HESS J1702-420" , "UNID" , "17 02 44" , "-42 00 57" , "344.3" , "-0.19" , "12" , "1.3" , "180" , "20" , "YES" , "0.3" , "0.02" , "0.15" , "0.01" , "68" , "9.1e-12" , "1.1e-12" , "-" , "2.07" , "0.08" , "0.2" , "18" , "-" , "-" , "NO" , "27" , "500" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "32.4" , "0.050" , "1" , "Aharonian et al. (2008), A&A 477, 353" , "Orientation angle: (68+/-7)deg measured counter-clockwise wrt RA axis."
93 , "TeV J1708-4105" , "HESS J1708-410" , "UNID" , "17 08 24" , "-41 05 24" , "345.68" , "-0.48" , "12" , "1.3" , "180" , "20" , "YES" , "0.06" , "0.01" , "0.08" , "0.01" , "-20" , "2.7e-12" , "3e-13" , "-" , "2.46" , "0.08" , "0.2" , "5.2" , "-" , "-" , "NO" , "8" , "500" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "140.4" , "0.050" , "1" , "Aharonian et al. (2008), A&A 477, 353" , "Orientation angle: (-20+/-23)deg measured counter-clockwise wrt RA axis."
94 , "TeV J1708-4420" , "HESS J1708-443/ PSR B1706-44/ G 343.1-2.3" , "PWN/SNR" , "17 08 11" , "-44 20 00" , "343.05" , "-2.38" , "17" , "1.3" , "240" , "20" , "YES" , "0.29" , "0.04" , "0.29" , "0.04" , "-" , "4.2e-12" , "8e-13" , "1e-12" , "2.0" , "0.1" , "0.2" , "3.8" , "-" , "-" , "NO" , "17" , "1000" , "20" , "30" , "24" , "3" , "-" , "HESS" , "HESS" , "54101" , "54465" , "54" , "0.071" , "1" , "Abramowski et al. (2011), A&A 528, A143" , "Possible associations: PSR B1706-44 and SNR G343.1-2."
95 , "TeV J1713-3811" , "CTB 37B/ HESS J1713-381/ G 348.7+0.3" , "SNR" , "17 13 54" , "-38 11 58" , "348.63" , "0.38" , "4" , "1.3" , "45" , "20" , "YES" , "0.06" , "0.04" , "0.06" , "0.04" , "-" , "6.5e-13" , "1.1e-13" , "1.3e-13" , "2.65" , "0.19" , "0.2" , "5.6" , "1.5" , "1.1" , "NO" , "1.9" , "200" , "14" , "60" , "35" , "10.2" , "-" , "HESS" , "HESS" , "53096" , "-" , "146.88" , "0.018" , "1" , "Aharonian et al. (2008), A&A 486, 829 " , "-"
96 , "TeV J1713-3945" , "RX J1713.7-3946/ G 347.3-0.5" , "SNR" , "17 13 33.6" , "-39 45 36" , "347.33" , "-0.48" , "-" , "1.3" , "-" , "20" , "YES" , "0.65" , "-" , "0.65" , "-" , "-" , "2.1e-11" , "4e-13" , "-" , "2.32" , "0.01" , "-" , "-" , "-" , "-" , "YES" , "-" , "1000" , "15" , "74" , "-" , "6" , "-" , "HESS" , "HESS" , "53096" , "53704" , "291.24" , "-" , "1" , "Aharonian et al. (2007), A&A 464, 235" , "Combined 2003-2004-2005 data. Best-fit spectrum: N*E^(-Gamma)*exp(-(E/Ecut)^beta), N=(34.1+/-2.5)E-12TeV/cm^2/s Gamma=1.79+/-0.06 Ec=(3.7+/-1.0)TeV Beta=0.5."
97 , "TeV J1714-3834" , "CTB 37A/ HESS J1714-385/ SNR G348.5+0.1" , "SNR" , "17 14 19.0" , "-38 34 00" , "348.38" , "0.1" , "5.3" , "1.3" , "80" , "20" , "YES" , "0.072" , "0.016" , "0.072" , "0.016" , "-" , "8.7e-13" , "1e-13" , "1.8e-13" , "2.3" , "0.13" , "0.2" , "0.7" , "-" , "-" , "NO" , "3" , "1000" , "14" , "71" , "39" , "10.3" , "-" , "HESS" , "HESS" , "53096" , "-" , "243.36" , "0.023" , "1" , "Aharonian et al. (2008), A&A 490, 685" , "Data from Aharonian et al. (2008), A&A 490, 685. Counterpart candidate for 3EG J1714-3857."
98 , "TeV J1717-3726" , "SNR G349.7+0.2" , "SNR/MC" , "17 17 57.8" , "-37 26 39.6" , "349.71" , "0.17" , "2.0" , "1.3" , "24.0" , "20.0" , "NO" , "-" , "-" , "-" , "-" , "-" , "2.9e-12" , "-" , "-" , "2.8" , "0.27" , "0.20" , "0.65" , "0.11" , "0.13" , "NO" , "0.7" , "400" , "-" , "-" , "-" , "11.5" , "-" , "HESS" , "HESS" , "53005" , "56292" , "406.8" , "0.010" , "0.4" , "Abramowski et al. (2015), A&A 574, A100" , "Data from Abramowski et al. (2015), A&A 574, A100. Diff. flux normalization calculated from the integral flux and spectral index, assuming 0.4 TeV as normalization energy."
99 , "TeV J1718-3833" , "HESS J1718-385/ PSR J1718-3825" , "PWN" , "17 18 07" , "-38 33 00" , "348.83" , "-0.49" , "5" , "1.3" , "120" , "20" , "YES" , "0.15" , "0.03" , "0.07" , "0.02" , "33" , "-" , "-" , "-" , "2.1" , "0.1" , "0.2" , "-" , "-" , "-" , "YES" , "2" , "1000" , "-" , "-" , "33.9" , "4.2" , "-" , "HESS" , "HESS" , "53126" , "53735" , "295.2" , "0.034" , "-" , "Aharonian et al. (2007), A&A 472, 489" , "Data from Aharonian et al. (2007), A&A 472, 489. Orientation angle 33deg counter-clockwise from North. Best-fit spectrum: N*(E_peak/1TeV)^(-2)*(E/E_peak)^(beta*ln(E/E_peak)-2.0) with N=(1.3+/-0.3+/-0.5)E-12/TeV/cm^2/s, Epeak=(7+/-1+/-1)TeV and Beta=-0.7+/-0.3+/-0.4. Source likely associated with PSR J1718-3825."
100 , "TeV J1725+1152" , "H 1722+119/ 1RXS J172504.4+115218" , "HBL" , "17 25 04.3" , "+11 52 15.5" , "34.11" , "24.47" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "NO" , "2" , "140" , "-" , "-" , "-" , "-" , "0.159" , "MAGIC" , "MAGIC" , "56429" , "-" , "39.6" , "-" , "-" , "Cortina et al. (2013), Atel #5080" , "Detection announced by Cortina et al. (2013), Atel #5080. Position taken from NED (2011AJ 142 105P). No information on the positional uncertainty available. Redshift from Wurtz et al. (1996), ApJS 103, 109."
101 , "TeV J1728+5013" , "1ES 1727+502" , "HBL" , "17 28 18.62" , "+50 13 10.47" , "77.06" , "33.53" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "9.6e-12" , "2.5e-12" , "-" , "2.7" , "0.5" , "-" , "2.6" , "0.8" , "-" , "NO" , "2.1" , "150" , "22" , "50" , "-" , "-" , "0.055" , "MAGIC" , "MAGIC" , "55687" , "55722" , "45" , "-" , "0.3" , "Aleksic et al. (2014), A&A 563, A90" , "Position quoted from the he VLBI radio catalog (Ma et al. 1998, AJ, 116, 516). Fitted position consistent with the VLBI radio position. Spectral properties quoted for the de-absorbed VHE spectrum."
102 , "TeV J1729-3432" , "HESS J1729-345" , "UNID" , "17 29 35" , "-34 32 22" , "353.44" , "-0.13" , "8" , "1.3" , "126" , "20" , "YES" , "0.12" , "0.03" , "0.12" , "0.03" , "-" , "4.4e-13" , "7e-14" , "9e-14" , "2.24" , "0.15" , "0.2" , "-" , "-" , "-" , "NO" , "-" , "1000" , "9" , "42" , "16.5" , "-" , "-" , "HESS" , "HESS" , "-" , "55074" , "212.4" , "0.035" , "0.861" , "Abramowski et al. (2011), A&A 531, A81" , "Integrated flux (1-10 TeV)=(0.88 +/- 0.29)x1E-12 erg/cm2/s."
103 , "TeV J1732-3445" , "HESS J1731-347" , "SNR/SHELL" , "17 32 03" , "-34 45 18" , "353.54" , "-0.68" , "-" , "-" , "-" , "-" , "YES" , "0.27" , "0.02" , "0.27" , "0.02" , "-" , "4.67e-12" , "1.9e-13" , "9.3e-13" , "2.32" , "0.06" , "0.2" , "-" , "-" , "-" , "NO" , "-" , "1000" , "9" , "42" , "16.5" , "-" , "-" , "HESS" , "HESS" , "-" , "55074" , "212.4" , "-" , "0.783" , "Abramowski et al. (2011), A&A 531, A81" , "Position quoted correspondent to the geometrical center of the radio SNR. Integrated flux between 1-10 TeV: (6.91 +/- 0.75)x1E-12 erg/cm2/s."
104 , "TeV J1741-3012" , "HESS J1741-302" , "UNID" , "17 41 00" , "-30 12 00" , "358.39" , "0.19" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "2.78" , "0.24" , "0.2" , "0.63" , "0.13" , "0.11" , "NO" , "-" , "1000" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "-" , "-" , "-" , "Tibolla et al. (2009), AIP Conf. Proc. 1112, 233" , "-"
105 , "TeV J1743+1935" , "1ES 1741+196" , "HBL" , "17 43 57.83" , "+19 35 09.02" , "43.83" , "23.33" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "NO" , "0.8" , "250" , "-" , "-" , "-" , "-" , "0.083" , "MAGIC" , "MAGIC" , "-" , "-" , "-" , "-" , "-" , "Berger et al. (2011), 32nd ICRC" , "No position is quoted. Coordinates from NED (2007AJ 133.1236K)."
106 , "TeV J1745-2900" , "Galactic Center/ HESS J1745-290" , "UNID" , "17 45 39.6" , "-29 00 22" , "359.94" , "-0.05" , "0.4" , "0.4" , "6" , "6" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "6" , "60" , "23" , "8.3" , "-" , "HESS" , "HESS" , "53494" , "53951" , "230.4" , "0.0024" , "-" , "Acero et al., (2010), MNRA 402, 1877" , "-"
107 , "TeV J1745-2900" , "Galictic Center Ridge" , "UNID" , "17 45 41.2" , "-29 00 21" , "359.94" , "-0.05" , "-" , "-" , "-" , "-" , "YES" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "2.29" , "0.07" , "0.2" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "8.5" , "-" , "HESS" , "HESS" , "-" , "-" , "-" , "-" , "-" , "Aharonian et al. (2006), Nature 439, 695" , "Spectrum extracted from |l|<0.8deg and |b|>0.3deg. Flux normalization: (1.73 +/- 0.13 +/- 0.35)x1E-08/TeV/cm^2/s/sr."
108 , "TeV J1745-3022" , "HESS J1745-303/ 3EG J1744-3011" , "SNR/MC" , "17 45 02.1" , "-30 22 14" , "358.7" , "-0.65" , "-" , "-" , "-" , "-" , "YES" , "-" , "-" , "-" , "-" , "-" , "2.8e-12" , "2.3e-13" , "2.8e-13" , "2.71" , "0.11" , "0.2" , "1.63" , "0.16" , "-" , "NO" , "8" , "1000" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "53126" , "-" , "284.4" , "-" , "1" , "Aharonian et al. (2008), A&A 483, 509" , "Results based on the full dataset on HESS J1745-303. Integral flux between 1-10 TeV."
109 , "TeV J1747-2448" , "Terzan 5" , "GC" , "17 47 49" , "-24 48 30" , "3.78" , "1.72" , "108" , "1.3" , "36" , "20" , "YES" , "0.16" , "0.04" , "0.03" , "0.02" , "92" , "5.2e-13" , "1.1e-13" , "-" , "2.5" , "0.3" , "0.2" , "1.2" , "0.3" , "-" , "NO" , "1.5" , "440" , "-" , "-" , "20.4" , "5.9" , "-" , "HESS" , "HESS" , "2004" , "2010" , "324" , "0.45" , "1" , "Abramowski et al. (2011), A&A 531, L18" , "Integral flux between 0.44-24 TeV. Orientation angle: 92 +/- 6 deg, westwards from North."
110 , "TeV J1747-2809" , "SNR G0.9+0.1" , "PWN" , "17 47 23.2" , "-28 09 06" , "0.87" , "0.07" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "8.4e-13" , "-" , "-" , "2.4" , "0.11" , "0.2" , "5.7" , "0.7" , "1.2" , "NO" , "2" , "200" , "-" , "-" , "18" , "8.5" , "-" , "HESS" , "HESS" , "53065" , "53278" , "180" , "-" , "1" , " Aharonian et al. (2005), A&A 432, L25" , "Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy."
111 , "TeV J1800-2359" , "HESS J1800-240 A+B+C (W28)" , "UNID" , "18 00 37.4" , "-23 59 45.6" , "5.96" , "-0.39" , "10.6" , "1.3" , "79" , "20" , "YES" , "0.32" , "0.05" , "0.17" , "0.03" , "-" , "1.863e-12" , "1.85e-13" , "1.2e-13" , "2.49" , "0.14" , "0.2" , "1.3" , "-" , "-" , "NO" , "6" , "1000" , "-" , "-" , "-" , "2" , "-" , "HESS" , "HESS" , "53005" , "54100" , "151.5" , "0.044" , "1" , "Aharonian et al. (2008), A&A 481, 401" , "Composite region of HESS J1800-240 (A+B+C). Extension: 0.32deg in RA, 0.17deg in Dec. Spectrum extracted from a 0.8x0.6deg elliptical region encompassing all components A, B, C."
112 , "TeV J1801-2320" , "W28/ HESS J1801-233" , "SNR/MC" , "18 01 42.2" , "-23 20 06" , "6.65" , "-0.27" , "7.4" , "1.3" , "115" , "20" , "YES" , "0.17" , "0.03" , "0.17" , "0.03" , "-" , "7.5e-13" , "1.1e-13" , "3e-13" , "2.66" , "0.27" , "0.2" , "0.45" , "-" , "-" , "NO" , "2" , "1000" , "-" , "-" , "-" , "2" , "-" , "HESS" , "HESS" , "53005" , "54100" , "151.4" , "0.032" , "1" , "Aharonian et al. (2008), A&A 481, 401" , "-"
113 , "TeV J1804-2143" , "HESS J1804-216" , "UNID" , "18 04 19.0" , "-21 43 37" , "8.35" , "-0.01" , "-" , "-" , "-" , "-" , "YES" , "0.16" , "0.005" , "0.274" , "0.011" , "-" , "5e-12" , "1.5e-12" , "1.6e-12" , "2.69" , "0.3" , "0.34" , "7" , "-" , "-" , "NO" , "14" , "600" , "-" , "-" , "21" , "-" , "-" , "CANGAROO" , "HESS" , "53856" , "53947" , "273.6" , "-" , "0.6" , "Higashi et al. (2008), ApJ 683, 957" , "-"
114 , "TeV J1808-2026" , "HESS J1808-204" , "UNID" , "18 08 36.24" , "-20 26 44.9" , "9.95" , "-0.25" , "1.95" , "1.3" , "136.4" , "20" , "YES" , "0.138" , "0.023" , "0.138" , "0.023" , "-" , "4.2e-13" , "5e-14" , "-" , "2.5" , "0.2" , "0.2" , "0.75" , "-" , "-" , "NO" , "1.3" , "1000" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "-" , "0.038" , "1" , "Rowell (2012), Gamma 2012" , "Source detection presented at the Gamma 2012 workshop."
